ID;RELEASE;SUBDIR_ECWMF;SUBDIR_COSMO;Station;Contributor;ICOS2020;Flask/Continuous;Latitude;Longitude;Elevation (masl);Sheight (magl);Usage_D4.7;Usage_D4.8;Usage_D4.15;REMARKS;;;;;;;;;;
SVB_ICO_002;;;;Svartberget, 235m+85m, ICOS, Sweden;ICOS;Y;C;64.256;19.775;235;85;outside;outside;outside;;;;;;;;;;;
TAC;TAC_100_AGL;;VRFY01;Tacolneston Tall Tower;UoB;N;C;52.52;1.14;56;100;exclude;exclude;option;;;;;;;;;;;
TOH_ICO_001;TOH_10_AGL;;ADDITIONAL;Torfhaus, 801m+10m, ICOS, Germany;ICOS;Y;C;51.81;10.53;801;10;exclude;exclude;valid;;;;;;;;;;;
TOH_ICO_002;TOH_76_AGL;;ADDITIONAL;Torfhaus, 801m+76m, ICOS, Germany;ICOS;Y;C;51.81;10.53;801;76;exclude;exclude;valid;;;;;;;;;;;
TOH_ICO_003;TOH_110_AGL;;ADDITIONAL;Torfhaus, 801m+110m, ICOS, Germany;ICOS;Y;C;51.81;10.53;801;110;exclude;exclude;valid;;;;;;;;;;;
TOH_ICO_004;TOH_147_AGL;;VRFY01;Torfhaus, 801m+147m, ICOS, Germany;ICOS;Y;C;51.81;10.53;801;147;exclude;exclude;assim;;;;;;;;;;;
TRN;TRN_180_AGL;MISSING_CORE_1;VRFY00;Trainou (Orl�ans);LSCE;Y;C;47.96;2.11;131;180;assim;assim;exclude;;;;;;;;;;;
TRN_ICO_001;TRN_5_AGL;;ADDITIONAL;Trainou, 131m+5m, ICOS, France;ICOS;Y;C;47.96;2.11;131;5;exclude;exclude;valid;;;;;;;;;;;
TRN_ICO_002;TRN_50_AGL;;ADDITIONAL;Trainou, 131m+50m, ICOS, France;ICOS;Y;C;47.96;2.11;131;50;exclude;exclude;valid;;;;;;;;;;;
TRN_ICO_003;TRN_100_AGL;;ADDITIONAL;Trainou, 131m+100m, ICOS, France;ICOS;Y;C;47.96;2.11;131;100;exclude;exclude;valid;;;;;;;;;;;
TRN_ICO_004;TRN_180_AGL;MISSING_CORE_1;VRFY00;Trainou (Orl�ans);ICOS;Y;C;47.96;2.11;131;180;assim;exclude;assim;;;;;;;;;;;
UTO_ICO_001;;;;ICOS Uto, Baltic Sea, 8m+57m, ICOS, Finland;;Y;C;59.78;21.37;8;57;outside;outside;outside;;;;;;;;;;;
VAC;VAC_1122_ASL;;ADDITIONAL;Valderejo;IC3;N;C;42.879;-3.214;1102;20;valid;valid;option;;;;;;;;;;;
VAC;VAC_979_ASL;;ADDITIONAL;Valderejo;IC3;N;C;42.879;-3.214;1102;20;exclude;exclude;exclude;;;;;;;;;;;
VKV;VKV_6_AGL;NEW_EXTRA;;Voeikovo;MGO;N;C;59.95;30.7;70;6;assim;option;outside;;;;;;;;;;;
WAO;WAO_10_AGL;NEW_EXTRA;VRFY01;Weybourne Atmospheric Observatory;UEA;N;C;52.95;1.12;31;10;valid;option;option;;;;;;;;;;;
WES;WES_11_AGL;MISSING_CORE_1;ADDITIONAL;Westerland;UBA;N;C;54.92;8.31;12;11;option;option;option;;;;;;;;;;;
XIC;XIC_20_AGL;;ADDITIONAL;Sierra de Xures;IC3;N;C;41.991;-8.018;890;20;valid;valid;option;XIC_5_AGL also available for FLEXPART-COSMO;;;;;;;;;;
ZEP;ZEP_489_ASL;CORE_01;;Zeppelin Mountain (Ny �lesund);NILU;Y;C;78.91;11.89;474;15;outside;outside;outside;outside ECMWF and COSMO domain;;;;;;;;;;
ZEP;ZEP_489_ASL;CORE_01;;Zeppelin Mountain (Ny �lesund);NOAA;N;F;78.91;11.89;474;15;outside;outside;outside;;;;;;;;;;;
ZSF;ZSF_2661_ASL;CORE_01;VRFY00;Zugspitze-Schneefernerhaus;UBA;N;C;47.42;10.98;2656;4;assim;assim;option;issue with data quality in early period;;;;;;;;;;
ZSF;ZSF_2150_ASL;;VRFY00;Zugspitze-Schneefernerhaus;UBA;N;C;47.42;10.98;2656;4;exclude;exclude;exclude;;;;;;;;;;;
